,Open_adj,High_adj,Low_adj,Close_adj,Volume,Open_interest,Contract
2/7/2021,75842.38502,76184.96318,74936.21052,75433.5014,107885,121278,2108
5/7/2021,75621.36685,77113.23949,75378.24686,76825.91587,137175,121704,2108
6/7/2021,76538.59225,77610.53038,76472.2868,77466.86857,115739,124166,2108
7/7/2021,77046.93404,77146.39222,75035.6687,76372.82862,172828,115546,2108
8/7/2021,76560.69407,76859.0686,75798.18138,75963.94501,127762,114518,2108
9/7/2021,75544.01049,76516.49043,75334.04323,76162.86136,118800,115392,2108
12/7/2021,76914.32314,77334.25766,76085.505,76229.16681,127097,114819,2108
13/7/2021,76019.19955,76759.61042,75974.99592,76472.2868,82563,115900,2108
14/7/2021,75687.6723,76284.42136,75455.60322,76107.60682,98394,115354,2108
15/7/2021,75952.8941,76361.77772,75212.48323,76030.25046,108007,114958,2108
16/7/2021,76008.14864,76859.0686,75886.58865,76626.99952,97287,108984,2108
19/7/2021,76582.79589,76781.71224,75831.33411,75963.94501,90167,103887,2108
20/7/2021,74538.37781,75555.0614,74483.12327,75289.83959,111283,102737,2108
21/7/2021,75013.56688,75908.69047,74936.21052,75168.2796,80128,96552,2108
22/7/2021,75477.70504,76306.52317,75378.24686,76207.065,74370,87749,2108
23/7/2021,76394.93044,77356.35948,76173.91227,76991.6795,84264,80343,2108
26/7/2021,77300.70574,78525.77403,76848.20303,78106.38128,139600,128828,2109
27/7/2021,78393.33422,80280.60159,78349.18761,79210.04641,167268,137479,2109
28/7/2021,79585.29256,79916.3921,79121.7532,79298.33962,132217,138433,2109
29/7/2021,79187.97311,79364.55953,78481.62743,79033.45999,121943,136632,2109
30/7/2021,79132.78985,79596.32921,78680.28715,79265.22967,113946,136097,2109
2/8/2021,79419.74279,79971.57535,78172.60119,78889.98352,169156,134609,2109
3/8/2021,79110.71655,79121.7532,77742.17179,77753.20844,110158,127089,2109
4/8/2021,77102.04601,77642.84193,76704.72657,77388.99895,113943,122670,2109
5/8/2021,76726.79987,77102.04601,76395.70033,76395.70033,117226,120705,2109
6/8/2021,76428.81028,77731.13514,76428.81028,77620.76862,102313,120451,2109
9/8/2021,77433.14555,77797.35505,76307.40712,76671.61661,119524,117123,2109
10/8/2021,75645.20804,77002.71615,75601.06144,76759.90982,105758,121441,2109
11/8/2021,76704.72657,77720.09849,76561.2501,77002.71615,101880,120291,2109
12/8/2021,77113.08266,77984.97812,77091.00936,77709.06184,93337,119708,2109
13/8/2021,77455.21886,77499.36546,76748.87317,77223.44918,88041,118113,2109
16/8/2021,77322.77904,78260.8944,76881.31299,76881.31299,107705,120238,2109
17/8/2021,77057.89941,77311.74239,76704.72657,76936.49624,79978,114642,2109
18/8/2021,76053.56414,76450.88359,75656.24469,75843.86776,121695,113219,2109
19/8/2021,75402.40171,75601.06144,73625.50085,73713.79406,157665,108568,2109
20/8/2021,72875.00856,74629.83612,72841.89861,74166.29677,128192,94679,2109
23/8/2021,74122.15016,75347.21846,73934.52709,74872.64245,78736,82560,2109
24/8/2021,75755.57455,76064.60079,75435.51167,75854.90442,61997,73609,2109
25/8/2021,76428.81028,76914.42294,76208.07726,76340.51707,54899,69076,2109
26/8/2021,76782.43034,76892.90866,75743.93416,75777.07766,101725,130837,2110
27/8/2021,76130.60827,76439.94756,75810.22115,76373.66057,99494,126661,2110
30/8/2021,76450.99539,77644.16121,76439.94756,77478.44374,133885,129293,2110
31/8/2021,77831.97435,77997.69183,77058.62613,77445.30024,100739,132113,2110
1/9/2021,77555.77856,77655.20905,76075.36911,76119.56044,117263,130405,2110
2/9/2021,76075.36911,76484.13889,75688.695,76252.13442,100627,126108,2110
3/9/2021,75920.69947,76848.71733,75854.41248,76329.46924,106220,126037,2110
6/9/2021,76506.23455,77080.7218,76285.27791,76793.47817,102658,123399,2110
7/9/2021,76837.6695,77014.43481,76086.41694,76307.37358,77174,122433,2110
8/9/2021,76296.32575,76473.09105,75876.50814,75876.50814,95765,120538,2110
9/9/2021,75876.50814,76903.95649,75423.54704,76561.47371,146092,123131,2110
10/9/2021,76462.04322,77599.96989,76406.80406,77423.20458,126974,127535,2110
13/9/2021,77887.21351,79433.90995,77754.63953,78969.90102,192823,136463,2110
14/9/2021,78969.90102,78969.90102,77113.86529,77158.05662,149579,124842,2110
15/9/2021,77124.91312,77588.92206,76627.7607,77124.91312,125769,120669,2110
16/9/2021,77301.67843,78284.93545,76815.57384,76948.14782,119956,114680,2110
17/9/2021,76727.19118,77036.53047,76318.42141,76528.33021,123464,106260,2110
22/9/2021,74738.58148,76351.56491,74628.10316,75986.98646,99418,102428,2110
23/9/2021,76406.80406,76561.47371,75688.695,75854.41248,93358,91993,2110
24/9/2021,75876.55975,76839.96616,75732.60247,76507.75705,95221,104414,2111
27/9/2021,76286.28432,77293.98527,76186.62158,76707.08252,112061,114108,2111
28/9/2021,76507.75705,77017.14435,76463.46251,76662.78797,77495,117870,2111
29/9/2021,76529.90433,76640.6407,75621.8661,75699.38156,121933,117320,2111
30/9/2021,75843.33884,76075.88522,75178.92063,75245.36245,99026,119551,2111
8/10/2021,76374.87341,77183.2489,76208.76886,76230.91613,84488,119513,2111
11/10/2021,76352.72614,77903.0353,76330.57886,77803.37257,143162,139746,2111
12/10/2021,77825.51984,78777.85261,76851.0398,77161.10163,144814,141275,2111
13/10/2021,77858.74075,78334.90713,76939.62889,77626.19438,144545,141888,2111
14/10/2021,78268.46531,81535.18819,78046.99258,80261.71995,238778,160785,2111
15/10/2021,80416.75086,82321.4164,80416.75086,81745.58729,183489,162564,2111
18/10/2021,83063.35007,84934.7947,82476.44732,84458.62832,221067,158195,2111
19/10/2021,83617.03192,84347.89195,82509.66823,83949.24102,147924,149675,2111
20/10/2021,83594.88464,83594.88464,80261.71995,81258.34727,197841,131489,2111
21/10/2021,81291.56818,83007.98189,80294.94086,80715.73906,151149,119023,2111
22/10/2021,80693.59179,80903.99089,79287.2399,80283.86722,152114,98358,2111
25/10/2021,79719.11174,80394.60359,78622.82169,79984.87903,99589,88993,2111
26/10/2021,79751.94567,80417.46955,79396.99959,79862.86631,139144,159882,2112
27/10/2021,79851.77425,80184.53619,78265.60899,78265.60899,194977,150037,2112
28/10/2021,77977.2153,79341.53927,77267.32316,78875.67255,213682,153377,2112
29/10/2021,78531.81854,79086.42178,77810.83433,78243.42486,132432,150947,2112
1/11/2021,77866.29466,78498.54235,77333.87555,77799.74227,122502,150554,2112
2/11/2021,77799.74227,78742.56777,76956.74535,77267.32316,142807,149521,2112
3/11/2021,77866.29466,79274.98688,77367.15174,79141.8821,128403,160201,2112
4/11/2021,78753.65984,78864.58049,77211.86284,77810.83433,138708,155384,2112
5/11/2021,78343.25344,78398.71376,76280.12939,77189.67871,166446,157158,2112
8/11/2021,76978.92947,78365.43757,76912.37709,77644.45336,121313,152708,2112
9/11/2021,77888.47879,78620.55506,77677.72956,78254.51692,95172,153566,2112
10/11/2021,78698.19951,78709.29158,77333.87555,78010.4915,108019,151805,2112
11/11/2021,77877.38672,78443.08202,77178.58664,78110.32008,129162,148807,2112
12/11/2021,78365.43757,78942.22494,78121.41215,78276.70105,122058,144542,2112
15/11/2021,78276.70105,79308.26308,78088.13595,78565.09474,108729,145210,2112
16/11/2021,78786.93603,78997.68526,77877.38672,78043.76769,108271,133480,2112
17/11/2021,78354.34551,78420.89789,77422.61207,77799.74227,115483,128600,2112
18/11/2021,77333.87555,77711.00575,76313.40559,76435.4183,145132,123222,2112
19/11/2021,76768.18024,78775.84397,76169.20875,78709.29158,130497,114292,2112
22/11/2021,78021.58356,79108.60591,78021.58356,78365.43757,83275,101028,2112
23/11/2021,78587.27887,79862.86631,78321.06931,78875.67255,68856,92198,2112
